map:159
1	grid1
2	grid2
3	grid3
4	grid4
5	grid5
6	grid6
7	grid7
8	grid8
9	grid9
10	grid10
11	grid11
12	grid12
13	grid13
14	grid14
15	grid15
16	grid16
17	grid17
18	grid18
19	grid19
20	grid20
21	grid21
22	grid22
23	grid23
24	grid24
25	grid25
26	grid26
27	grid27
28	grid28
29	grid29
30	grid30
31	grid31
32	grid32
33	grid33
34	grid34
35	grid35
36	grid36
37	grid37
38	grid38
39	grid39
40	grid40
41	grid41
42	grid42
43	grid43
44	grid44
45	grid45
46	grid46
47	grid47
48	grid48
49	grid49
50	grid50
51	grid51
52	grid52
53	grid53
54	grid54
55	grid55
56	grid56
57	grid57
58	grid58
59	grid59
60	grid60
61	grid61
62	grid62
63	grid63
64	grid64
65	grid65
66	grid66
67	grid67
68	grid68
69	grid69
70	grid70
71	grid71
72	grid72
73	grid73
74	grid74
75	grid75
76	grid76
77	grid77
78	grid78
79	grid79
80	grid80
81	grid81
82	grid82
83	grid83
84	grid84
85	grid85
86	grid86
87	grid87
88	grid88
89	grid89
90	grid90
91	grid91
92	grid92
93	grid93
94	grid94
95	grid95
96	grid96
97	grid97
98	grid98
99	grid99
100	grid100
101	grid101
102	grid102
103	grid103
104	grid104
105	grid105
106	grid106
107	grid107
108	grid108
109	grid109
110	grid110
111	grid111
112	grid112
113	grid113
114	grid114
115	grid115
116	grid116
117	grid117
118	grid118
119	grid119
120	grid120
121	grid121
122	grid122
123	grid123
124	grid124
125	grid125
126	grid126
127	grid127
128	grid128
129	grid129
130	grid130
131	grid131
132	grid132
133	grid133
134	grid134
135	grid135
136	grid136
137	grid137
138	grid138
139	grid139
140	grid140
141	grid141
142	grid142
143	grid143
144	grid144
145	grid145
146	grid146
147	grid147
148	grid148
149	grid149
150	grid150
151	grid151
152	grid152
153	grid153
154	grid154
155	grid155
156	grid156
157	grid157
158	grid158
159	grid159
grid1	-7171.0	3550.0
grid1	-7169.0	3550.0
grid1	-7167.0	3550.0
grid1	-7166.0	3550.0
grid1	-7165.0	3549.0
grid1	-7162.0	3547.0
grid1	-7161.0	3549.0
grid1	-7157.0	3549.0
grid1	-7153.0	3545.0
grid1	-7150.0	3545.0
grid1	-7146.0	3545.0
grid1	-7145.0	3545.0
grid1	-7145.0	3544.0
grid1	-7143.0	3543.0
grid1	-7142.0	3545.0
grid1	-7142.0	3544.0
grid1	-7142.0	3541.0
grid1	-7141.0	3539.0
grid1	-7137.0	3536.0
grid1	-7143.0	3536.0
grid1	-7144.0	3536.0
grid1	-7145.0	3536.0
grid1	-7143.0	3535.0
grid1	-7143.0	3534.0
grid1	-7144.0	3534.0
grid1	-7144.0	3533.0
grid1	-7143.0	3532.0
grid1	-7146.0	3531.0
grid1	-7146.0	3522.0
grid1	-7144.0	3522.0
grid1	-7144.0	3520.0
grid1	-7146.0	3520.0
grid1	-7146.0	3508.0
grid1	-7147.0	3507.0
grid1	-7146.0	3507.0
grid1	-7146.0	3498.0
grid1	-7149.0	3498.0
grid1	-7151.0	3500.0
grid1	-7154.0	3504.0
grid1	-7156.0	3508.0
grid1	-7157.0	3509.0
grid1	-7160.0	3509.0
grid1	-7162.0	3512.0
grid1	-7165.0	3514.0
grid1	-7174.0	3519.0
grid1	-7176.0	3520.0
grid1	-7177.0	3522.0
grid1	-7178.0	3522.0
grid1	-7178.0	3526.0
grid1	-7181.0	3526.0
grid1	-7181.0	3528.0
grid1	-7178.0	3528.0
grid1	-7177.0	3536.0
grid1	-7171.0	3536.0
grid1	-7171.0	3550.0
NA	NA	NA
grid2	-7196.0	3466.0
grid2	-7196.0	3465.0
grid2	-7216.0	3463.0
grid2	-7223.0	3463.0
grid2	-7224.0	3467.0
grid2	-7224.0	3470.0
grid2	-7223.0	3473.0
grid2	-7223.0	3475.0
grid2	-7224.0	3477.0
grid2	-7226.0	3479.0
grid2	-7229.0	3481.0
grid2	-7230.0	3484.0
grid2	-7230.0	3486.0
grid2	-7232.0	3487.0
grid2	-7215.0	3487.0
grid2	-7215.0	3487.0
grid2	-7209.0	3487.0
grid2	-7207.0	3487.0
grid2	-7205.0	3484.0
grid2	-7189.0	3484.0
grid2	-7189.0	3477.0
grid2	-7192.0	3477.0
grid2	-7196.0	3475.0
grid2	-7196.0	3466.0
NA	NA	NA
grid3	-7188.0	3519.0
grid3	-7178.0	3519.0
grid3	-7178.0	3522.0
grid3	-7177.0	3522.0
grid3	-7176.0	3520.0
grid3	-7174.0	3519.0
grid3	-7165.0	3514.0
grid3	-7162.0	3512.0
grid3	-7160.0	3509.0
grid3	-7157.0	3509.0
